"company_id","url_count","reached_count"
652,"6","6"
273,"6","5"
51,"6","6"
951,"1","1"
839,"6","6"
70,"6","5"
350,"2","0"
539,"2","0"
758,"2","0"
874,"2","1"
278,"2","0"
946,"6","6"
176,"6","6"
576,"6","6"
292,"6","4"
929,"6","6"
663,"2","0"
770,"4","2"
271,"6","6"
22,"2","1"
417,"6","6"
764,"6","5"
556,"2","0"
529,"6","6"
638,"6","6"
791,"2","0"
775,"2","0"
940,"6","6"
173,"6","6"
390,"6","6"
42,"2","0"
189,"6","6"
876,"7","4"
161,"2","0"
113,"2","0"
632,"1","1"
658,"7","4"
120,"2","0"
802,"6","6"
578,"6","6"
815,"2","0"
695,"3","2"
440,"2","2"
794,"1","1"
57,"2","0"
19,"1","1"
160,"1","1"
644,"6","6"
824,"2","0"
508,"7","6"
357,"6","6"
769,"6","4"
266,"1","1"
315,"6","6"
366,"6","6"
307,"1","1"
841,"2","0"
91,"6","6"
803,"6","6"
54,"2","0"
305,"2","0"
181,"6","6"
743,"6","6"
10,"2","0"
35,"6","6"
963,"6","4"
220,"6","6"
822,"1","1"
823,"2","0"
400,"6","4"
241,"2","0"
175,"2","0"
596,"2","1"
285,"2","0"
50,"6","6"
13,"6","4"
391,"2","0"
487,"2","0"
2,"6","6"
699,"3","2"
246,"6","6"
75,"6","5"
128,"2","0"
714,"6","6"
344,"2","2"
906,"2","0"
909,"2","0"
745,"6","6"
534,"2","0"
152,"1","1"
428,"2","1"
637,"2","0"
355,"6","3"
747,"2","0"
222,"2","0"
164,"7","6"
777,"6","5"
922,"6","6"
453,"6","5"
787,"2","0"
186,"2","0"
501,"6","3"
750,"2","0"
182,"6","5"
545,"2","1"
977,"3","2"
18,"6","6"
528,"6","6"
27,"7","5"
811,"2","0"
563,"2","0"
143,"2","0"
496,"1","1"
58,"1","1"
228,"6","6"
667,"6","6"
668,"6","6"
814,"2","0"
850,"2","2"
294,"6","3"
481,"6","5"
645,"6","5"
926,"1","1"
